exited,creditscore,age,tenure,balance,numofproducts,estimatedsalary,IncomeBalanceRatio,CardProductRatio,geography_Germany,geography_Spain,hascrcard_1,gender_Male,isactivemember_1
1,619,42,2,0,1,101348,0.0,100.0,0,0,1,0,1
0,608,41,1,83807,1,112542,0.74,0.0,0,1,0,0,1
1,502,42,8,159660,3,113931,1.4,33.33,0,0,1,0,0
0,699,39,1,0,2,93826,0.0,0.0,0,0,0,0,0
0,850,43,2,125510,1,79084,1.59,100.0,0,1,1,0,1
1,645,44,8,113755,2,149756,0.76,50.0,0,1,1,1,0
0,822,50,7,0,2,10062,0.0,50.0,0,0,1,1,1
1,376,29,4,115046,4,119346,0.96,25.0,1,0,1,0,0
0,501,44,4,142051,2,74940,1.9,0.0,0,0,0,1,1
0,684,27,2,134603,1,71725,1.88,100.0,0,0,1,1,1
0,528,31,6,102016,2,80181,1.27,0.0,0,0,0,1,0
0,497,24,3,0,2,76390,0.0,50.0,0,1,1,1,0
0,476,34,10,0,2,26260,0.0,50.0,0,0,1,0,0
0,549,25,5,0,2,190857,0.0,0.0,0,0,0,0,0
0,635,35,7,0,2,65951,0.0,50.0,0,1,1,0,1
0,616,45,3,143129,2,64327,2.23,0.0,1,0,0,1,1
1,653,58,1,132602,1,5097,26.02,100.0,1,0,1,1,0
0,549,24,9,0,2,14406,0.0,50.0,0,1,1,0,1
0,587,45,6,0,1,158684,0.0,0.0,0,1,0,1,0
0,726,24,6,0,2,54724,0.0,50.0,0,0,1,0,1
0,732,41,8,0,2,170886,0.0,50.0,0,0,1,1,1
0,636,32,8,0,2,138555,0.0,50.0,0,1,1,0,0
1,510,38,4,0,1,118913,0.0,100.0,0,1,1,0,0
0,669,46,3,0,2,8487,0.0,0.0,0,0,0,1,1
0,846,38,5,0,1,187616,0.0,100.0,0,0,1,0,1
0,577,25,3,0,2,124508,0.0,0.0,0,0,0,1,1
0,756,36,2,136815,1,170041,0.8,100.0,1,0,1,1,1
0,571,44,9,0,2,38433,0.0,0.0,0,0,0,1,0
0,574,43,3,141349,1,100187,1.41,100.0,1,0,1,0,1
0,411,29,0,59697,2,53483,1.12,50.0,0,0,1,1,1
1,591,39,3,0,3,140469,0.0,33.33,0,1,1,0,0
0,533,36,7,85311,1,156731,0.54,0.0,0,0,0,1,1
0,553,41,9,110112,2,81898,1.34,0.0,1,0,0,1,0
